web-scraper-order,web-scraper-start-url,Name,Position,Team,G-val,AB-val,R-val,H-val,2B-val,3B-val,HR-val,RBI,BB-val,SO-val,SB-val,CS-val,AVG,OBP,SLG,OPS
1718118539-148,https://www.milb.com/stats/?page=12,HeribertoH HernandezHernandez,RF,DUR,6,19,2,2,0,0,1,2,4,10,0,0,0.105,0.292,0.263,0.555
1718118539-149,https://www.milb.com/stats/?page=12,YonnyY HernándezHernández,2B,NAS,52,179,24,45,5,2,1,23,27,34,7,5,0.251,0.357,0.318,0.675
1718118539-150,https://www.milb.com/stats/?page=12,DannyD JansenJansen,C,BUF,4,13,2,4,1,0,1,6,1,4,0,0,0.308,0.357,0.615,0.972
1718118539-151,https://www.milb.com/stats/?page=12,EdouardE JulienJulien,2B,STP,6,24,1,3,0,0,1,1,2,8,0,0,0.125,0.192,0.25,0.442
1718118539-152,https://www.milb.com/stats/?page=12,NickN KahleKahle,C,NAS,13,39,4,10,2,0,1,10,2,5,0,0,0.256,0.326,0.385,0.711
1718118539-153,https://www.milb.com/stats/?page=12,GrantG KochKoch,C,IND,18,56,6,9,2,0,1,5,3,26,0,0,0.161,0.203,0.25,0.453
1718118539-154,https://www.milb.com/stats/?page=12,RyanR KreidlerKreidler,SS,TOL,9,25,2,4,0,0,1,5,2,12,1,0,0.16,0.276,0.28,0.556
1718118539-155,https://www.milb.com/stats/?page=12,BradyB LindslyLindsly,C,ROC,29,93,11,24,7,0,1,17,11,24,0,0,0.258,0.34,0.366,0.706
1718118539-156,https://www.milb.com/stats/?page=12,RafaelR MarchánMarchán,C,LHV,9,32,2,7,1,0,1,5,7,8,0,0,0.219,0.35,0.344,0.694
1718118539-157,https://www.milb.com/stats/?page=12,ElihE MarreroMarrero,C,WOR,4,13,3,2,1,0,1,2,1,8,0,0,0.154,0.267,0.462,0.729
1718118543-158,https://www.milb.com/stats/?page=11,MichaelM PérezPérez,C,NOR,22,79,4,17,2,0,2,13,5,27,0,0,0.215,0.287,0.316,0.603
1718118543-159,https://www.milb.com/stats/?page=11,ChrisC RollerRoller,CF,NAS,29,115,15,23,7,2,2,16,4,48,2,0,0.2,0.227,0.348,0.575
1718118543-160,https://www.milb.com/stats/?page=11,CoreyC RosierRosier,LF,WOR,39,119,14,22,4,0,2,13,13,34,8,1,0.185,0.269,0.269,0.538
1718118543-161,https://www.milb.com/stats/?page=11,JavierJ SanojaSanoja,SS,JAX,41,160,21,51,12,4,2,23,17,10,4,3,0.319,0.378,0.481,0.859
1718118543-162,https://www.milb.com/stats/?page=11,HaydenH SengerSenger,C,SYR,28,83,12,20,7,1,2,14,6,25,0,0,0.241,0.297,0.422,0.719
1718118543-163,https://www.milb.com/stats/?page=11,BrianB ServenServen,C,BUF,27,90,12,26,4,0,2,9,18,30,0,0,0.289,0.407,0.4,0.807
1718118543-164,https://www.milb.com/stats/?page=11,DominicDo SmithSmith,1B,DUR,21,80,10,21,3,0,2,11,8,26,1,0,0.263,0.337,0.375,0.712
1718118543-165,https://www.milb.com/stats/?page=11,KevinK SmithSmith,SS,SWB,35,113,15,26,7,0,2,14,9,43,7,0,0.23,0.291,0.345,0.636
1718118543-166,https://www.milb.com/stats/?page=11,CanaanC Smith-NjigbaSmith-Njigba,LF,IND,46,157,24,36,9,2,2,16,32,50,6,0,0.229,0.36,0.35,0.71
1718118543-167,https://www.milb.com/stats/?page=11,LivanL SotoSoto,SS,LOU,38,139,16,42,10,0,2,20,20,29,2,1,0.302,0.396,0.417,0.813
1718118543-168,https://www.milb.com/stats/?page=11,TerrinT VavraVavra,3B,NOR,17,59,11,16,3,0,2,12,9,19,1,2,0.271,0.377,0.424,0.801
1718118543-169,https://www.milb.com/stats/?page=11,PatrickP WinkelWinkel,C,STP,35,126,7,22,6,0,2,14,7,46,0,0,0.175,0.216,0.27,0.486
1718118543-170,https://www.milb.com/stats/?page=11,NickN YorkeYorke,2B,WOR,5,19,5,7,1,0,2,6,4,3,1,0,0.368,0.478,0.737,1.215
1718118543-171,https://www.milb.com/stats/?page=11,ChavezC YoungYoung,CF,NAS,41,134,21,30,6,2,2,18,12,40,6,4,0.224,0.314,0.343,0.657
1718118543-172,https://www.milb.com/stats/?page=11,FreddyF ZamoraZamora,SS,NAS,20,71,10,16,2,0,2,7,5,16,1,1,0.225,0.291,0.338,0.629
1718118543-173,https://www.milb.com/stats/?page=11,AustinA AllenAllen,C,SYR,3,11,1,3,0,0,1,3,1,4,0,0,0.273,0.308,0.545,0.853
1718118543-174,https://www.milb.com/stats/?page=11,JakeJ AluAlu,LF,ROC,24,85,13,19,4,0,1,8,9,13,3,0,0.224,0.292,0.306,0.598
1718118543-175,https://www.milb.com/stats/?page=11,TimT AndersonAnderson,SS,JAX,2,9,5,4,0,0,1,2,1,1,0,0,0.444,0.5,0.778,1.278
1718118543-176,https://www.milb.com/stats/?page=11,OsleivisO BasabeBasabe,SS,DUR,15,58,6,13,0,0,1,6,1,14,1,1,0.224,0.27,0.276,0.546
1718118543-177,https://www.milb.com/stats/?page=11,DavidD BañuelosBañuelos,C,NOR,5,21,3,6,1,0,1,3,1,6,1,0,0.286,0.318,0.476,0.794
1718118543-178,https://www.milb.com/stats/?page=11,NoahN CampbellCampbell,1B,NAS,17,52,8,10,1,2,1,7,14,20,0,2,0.192,0.373,0.346,0.719
1718118543-179,https://www.milb.com/stats/?page=11,DylanD CarlsonCarlson,CF,MEM,4,11,2,3,0,0,1,1,3,2,0,0,0.273,0.467,0.545,1.012
1718118543-180,https://www.milb.com/stats/?page=11,RyanR CasteelCasteel,C,GWN,11,38,3,8,1,0,1,4,1,17,0,0,0.211,0.231,0.316,0.547
1718118543-181,https://www.milb.com/stats/?page=11,RodolfoR CastroCastro,3B,LHV,2,6,1,1,0,0,1,3,1,2,0,0,0.167,0.286,0.667,0.953
1718118543-182,https://www.milb.com/stats/?page=11,LorenzoL CedrolaCedrola,CF,COL,30,91,13,25,6,1,1,10,8,16,9,1,0.275,0.35,0.396,0.746
1718118564-183,https://www.milb.com/stats/?page=10,JimJ HaleyHaley,2B,LHV,24,76,9,18,5,1,2,8,2,21,3,1,0.237,0.256,0.408,0.664
1718118564-184,https://www.milb.com/stats/?page=10,DavidD HamiltonHamilton,SS,WOR,5,18,3,3,0,0,2,2,2,6,0,1,0.167,0.25,0.5,0.75
1718118564-185,https://www.milb.com/stats/?page=10,TylerT HeinemanHeineman,C,WOR,25,79,13,18,2,0,2,11,17,17,4,0,0.228,0.386,0.329,0.715
1718118564-186,https://www.milb.com/stats/?page=10,C.J.C HinojosaHinojosa,SS,DUR,46,152,20,37,6,1,2,11,12,36,3,2,0.243,0.315,0.336,0.651
1718118564-187,https://www.milb.com/stats/?page=10,MikeM JarvisJarvis,2B,IND,15,45,6,11,1,1,2,6,3,16,2,2,0.244,0.3,0.444,0.744
1718118564-188,https://www.milb.com/stats/?page=10,TroyT JohnstonJohnston,1B,JAX,62,247,29,64,17,0,2,28,17,45,5,2,0.259,0.325,0.352,0.677
1718118564-189,https://www.milb.com/stats/?page=10,CarterC KieboomKieboom,3B,ROC,44,146,26,38,7,0,2,17,21,31,1,1,0.26,0.357,0.349,0.706
1718118564-190,https://www.milb.com/stats/?page=10,MarkM KolozsvaryKolozsvary,C,WOR,23,56,10,10,1,0,2,9,11,23,2,0,0.179,0.365,0.304,0.669
1718118564-191,https://www.milb.com/stats/?page=10,RafaelR LantiguaLantigua,LF,BUF,52,172,21,47,9,0,2,16,22,43,6,3,0.273,0.357,0.36,0.717
1718118564-192,https://www.milb.com/stats/?page=10,RamónR LaureanoLaureano,CF,GWN,10,44,6,14,2,1,2,8,3,15,0,0,0.318,0.354,0.545,0.899
1718118564-193,https://www.milb.com/stats/?page=10,AlejoA LopezLopez,3B,GWN,51,185,24,53,10,0,2,20,17,29,11,3,0.286,0.364,0.373,0.737
1718118564-194,https://www.milb.com/stats/?page=10,OttoO LopezLopez,SS,JAX,7,27,5,15,4,0,2,6,3,2,0,1,0.556,0.6,0.926,1.526
1718118564-195,https://www.milb.com/stats/?page=10,BrandonB LoweLowe,2B,DUR,6,17,3,4,1,0,2,8,4,9,0,0,0.235,0.381,0.647,1.028
1718118564-196,https://www.milb.com/stats/?page=10,MatthewM LugoLugo,LF,WOR,4,11,7,4,2,0,2,4,1,1,1,0,0.364,0.533,1.091,1.624
1718118564-197,https://www.milb.com/stats/?page=10,JakeJ MangumMangum,CF,DUR,26,96,10,27,1,1,2,15,5,22,2,2,0.281,0.324,0.375,0.699
1718118564-198,https://www.milb.com/stats/?page=10,MichaelM MasseyMassey,2B,OMA,7,30,8,13,5,0,2,10,2,2,0,0,0.433,0.469,0.8,1.269
1718118564-199,https://www.milb.com/stats/?page=10,RyanR McKennaMcKenna,CF,NOR,12,45,8,11,3,0,2,5,6,10,3,0,0.244,0.333,0.444,0.777
1718118564-200,https://www.milb.com/stats/?page=10,BillyB McKinneyMcKinney,RF,IND,27,85,13,22,5,0,2,13,14,26,0,3,0.259,0.369,0.388,0.757
1718118564-201,https://www.milb.com/stats/?page=10,ChaseC MeidrothMeidroth,SS,WOR,55,195,37,55,10,0,2,24,48,27,10,4,0.282,0.437,0.364,0.801
1718118564-202,https://www.milb.com/stats/?page=10,OwenO MillerMiller,1B,NAS,30,114,19,37,5,2,2,15,14,23,1,2,0.325,0.392,0.456,0.848
1718118564-203,https://www.milb.com/stats/?page=10,SeanS MurphyMurphy,C,GWN,4,18,4,5,1,0,2,4,1,4,0,0,0.278,0.316,0.667,0.983
1718118564-204,https://www.milb.com/stats/?page=10,DomD NuñezNuñez,C,COL,28,85,16,18,5,1,2,8,23,31,1,0,0.212,0.38,0.365,0.745
1718118564-205,https://www.milb.com/stats/?page=10,LioverL PegueroPeguero,SS,IND,53,197,33,54,13,2,2,34,24,51,5,2,0.274,0.344,0.391,0.735
1718118564-206,https://www.milb.com/stats/?page=10,DavidD PeraltaPeralta,LF,IOW,20,69,10,15,3,0,2,8,12,13,1,1,0.217,0.341,0.348,0.689
1718118564-207,https://www.milb.com/stats/?page=10,JhonnyJ PeredaPereda,C,JAX,22,76,11,21,4,0,2,5,14,20,0,0,0.276,0.396,0.408,0.804
1718118567-208,https://www.milb.com/stats/?page=9,PatrickP WisdomWisdom,1B,IOW,9,27,9,11,4,0,3,10,8,12,0,0,0.407,0.528,0.889,1.417
1718118567-209,https://www.milb.com/stats/?page=9,JonathanJ ArandaAranda,1B,DUR,17,63,10,14,1,0,2,7,12,27,0,0,0.222,0.355,0.333,0.688
1718118567-210,https://www.milb.com/stats/?page=9,BrettB BatyBaty,3B,SYR,2,10,2,3,0,0,2,3,0,2,0,0,0.3,0.3,0.9,1.2
1718118567-211,https://www.milb.com/stats/?page=9,AnthonyA BemboomBemboom,C,TOL,23,74,13,19,8,0,2,10,14,17,0,0,0.257,0.382,0.446,0.828
1718118567-212,https://www.milb.com/stats/?page=9,WyntonW BernardBernard,LF,CLT,37,110,18,33,5,1,2,13,4,18,10,1,0.3,0.325,0.418,0.743
1718118567-213,https://www.milb.com/stats/?page=9,JusticeJ BigbieBigbie,RF,TOL,55,195,24,46,14,1,2,22,23,44,6,2,0.236,0.323,0.349,0.672
1718118567-214,https://www.milb.com/stats/?page=9,SkyeS BoltBolt,RF,GWN,19,61,9,12,1,1,2,9,8,22,0,0,0.197,0.282,0.344,0.626
1718118567-215,https://www.milb.com/stats/?page=9,JoshJ BreauxBreaux,C,SWB,11,35,4,5,0,0,2,5,2,15,0,0,0.143,0.189,0.314,0.503
1718118567-216,https://www.milb.com/stats/?page=9,MattM CarpenterCarpenter,1B,MEM,4,13,3,3,0,0,2,3,4,6,0,0,0.231,0.412,0.692,1.104
1718118567-217,https://www.milb.com/stats/?page=9,CurtC CasaliCasali,C,IOW,23,69,13,25,7,0,2,11,15,16,0,0,0.362,0.489,0.551,1.04
1718118567-218,https://www.milb.com/stats/?page=9,GilbertoG CelestinoCelestino,CF,IND,46,160,28,46,8,0,2,19,22,37,8,1,0.288,0.377,0.375,0.752
1718118567-219,https://www.milb.com/stats/?page=9,YuY ChangChang,SS,DUR,14,41,6,12,3,0,2,7,9,15,2,1,0.293,0.431,0.512,0.943
1718118567-220,https://www.milb.com/stats/?page=9,JonathanJ DavisDavis,LF,JAX,41,140,15,31,5,1,2,10,21,51,6,1,0.221,0.347,0.314,0.661
1718118567-221,https://www.milb.com/stats/?page=9,LuisL De Los SantosDe Los Santos,3B,BUF,23,57,10,13,1,0,2,6,8,17,1,0,0.228,0.348,0.351,0.699
1718118567-222,https://www.milb.com/stats/?page=9,ZachZ DeLoachDeLoach,LF,CLT,44,160,28,45,6,1,2,21,21,42,10,2,0.281,0.37,0.369,0.739
1718118567-223,https://www.milb.com/stats/?page=9,JonnyJ DeLucaDeLuca,CF,DUR,6,20,6,6,1,0,2,6,4,1,1,0,0.3,0.44,0.65,1.09
1718118567-224,https://www.milb.com/stats/?page=9,RaynelR DelgadoDelgado,3B,COL,27,77,8,13,2,1,2,8,16,24,2,1,0.169,0.312,0.299,0.611
1718118567-225,https://www.milb.com/stats/?page=9,WilmerW DifoDifo,2B,CLT,32,102,13,32,4,0,2,18,12,25,4,2,0.314,0.386,0.412,0.798
1718118567-226,https://www.milb.com/stats/?page=9,JassonJ DomínguezDomínguez,CF,SWB,5,20,5,10,3,0,2,2,0,3,1,0,0.5,0.5,0.95,1.45
1718118567-227,https://www.milb.com/stats/?page=9,ArquímedesA GamboaGamboa,SS,MEM,18,52,9,8,1,0,2,10,9,19,1,0,0.154,0.279,0.288,0.567
1718118567-228,https://www.milb.com/stats/?page=9,TylerT GentryGentry,RF,OMA,50,169,22,29,12,1,2,21,25,66,3,0,0.172,0.282,0.29,0.572
1718118567-229,https://www.milb.com/stats/?page=9,MoisésM GómezGomez,RF,MEM,25,85,10,16,3,0,2,6,8,33,0,0,0.188,0.253,0.294,0.547
1718118567-230,https://www.milb.com/stats/?page=9,ErikE GonzálezGonzález,SS,LOU,52,173,28,42,8,0,2,20,7,38,3,0,0.243,0.269,0.324,0.593
1718118567-231,https://www.milb.com/stats/?page=9,RobbieR GrossmanGrossman,RF,CLT,3,10,3,4,1,0,2,5,2,2,0,0,0.4,0.5,1.1,1.6
1718118567-232,https://www.milb.com/stats/?page=9,YuliY GurrielGurriel,1B,GWN,32,120,11,33,8,1,2,16,17,24,2,0,0.275,0.367,0.408,0.775
1718118571-233,https://www.milb.com/stats/?page=8,AramisA GarciaGarcia,C,LHV,39,130,14,21,5,0,3,14,7,51,3,0,0.162,0.209,0.269,0.478
1718118571-234,https://www.milb.com/stats/?page=8,OscarO GonzalezGonzalez,RF,SWB,28,103,17,31,6,1,3,14,8,27,2,0,0.301,0.363,0.466,0.829
1718118571-235,https://www.milb.com/stats/?page=8,RomyR GonzalezGonzalez,2B,WOR,10,39,7,13,1,2,3,13,3,7,2,2,0.333,0.386,0.692,1.078
1718118571-236,https://www.milb.com/stats/?page=8,NikoN GoodrumGoodrum,2B,DUR,9,38,11,12,2,0,3,12,6,10,1,0,0.316,0.422,0.605,1.027
1718118571-237,https://www.milb.com/stats/?page=8,MaverickM HandleyHandley,C,NOR,42,142,15,34,9,1,3,16,20,34,4,2,0.239,0.349,0.38,0.729
1718118571-238,https://www.milb.com/stats/?page=8,PaytonP HenryHenry,C,BUF,24,86,12,21,4,0,3,17,7,17,0,0,0.244,0.309,0.395,0.704
1718118571-239,https://www.milb.com/stats/?page=8,JoeJ HudsonHudson,C,SYR,21,60,8,12,3,0,3,9,11,25,3,0,0.2,0.342,0.4,0.742
1718118571-240,https://www.milb.com/stats/?page=8,BlakeB HuntHunt,C,NOR,9,36,6,9,2,0,3,5,0,12,0,0,0.25,0.27,0.556,0.826
1718118571-241,https://www.milb.com/stats/?page=8,BuddyB KennedyKennedy,2B,TOL,39,141,25,33,12,0,3,14,19,39,2,1,0.234,0.331,0.383,0.714
1718118571-242,https://www.milb.com/stats/?page=8,MattM KroonKroon,CF,LHV,37,114,18,32,10,0,3,15,11,25,9,0,0.281,0.354,0.447,0.801
1718118571-243,https://www.milb.com/stats/?page=8,SandyS LeónLeón,C,GWN,38,113,9,25,3,0,3,17,25,35,0,0,0.221,0.362,0.327,0.689
1718118571-244,https://www.milb.com/stats/?page=8,JoshJ LoweLowe,RF,DUR,13,51,7,13,0,1,3,13,4,24,0,0,0.255,0.309,0.471,0.78
1718118571-245,https://www.milb.com/stats/?page=8,J.P.J MartínezMartínez,CF,GWN,45,170,25,45,9,2,3,12,16,49,14,6,0.265,0.337,0.394,0.731
1718118571-246,https://www.milb.com/stats/?page=8,MilesM MastrobuoniMastrobuoni,SS,IOW,26,100,19,20,7,0,3,12,16,24,4,0,0.2,0.31,0.36,0.67
1718118571-247,https://www.milb.com/stats/?page=8,SímonS MuzziottiMuzziotti,LF,LHV,47,167,21,38,8,2,3,19,12,36,4,1,0.228,0.282,0.353,0.635
1718118571-248,https://www.milb.com/stats/?page=8,BenB RiceRice,C,SWB,5,18,7,8,3,0,3,9,5,6,1,0,0.444,0.565,1.111,1.676
1718118571-249,https://www.milb.com/stats/?page=8,VictorV Scott IIScott,CF,MEM,39,148,18,30,3,1,3,10,16,23,16,3,0.203,0.287,0.297,0.584
1718118571-250,https://www.milb.com/stats/?page=8,CalC StevensonStevenson,CF,LHV,52,145,27,35,9,3,3,19,29,32,13,1,0.241,0.366,0.407,0.773
1718118571-251,https://www.milb.com/stats/?page=8,ChaseC StrumpfStrumpf,2B,IOW,13,42,10,10,2,0,3,7,7,21,0,1,0.238,0.347,0.5,0.847
1718118571-252,https://www.milb.com/stats/?page=8,AliA SánchezSánchez,C,IOW,36,115,14,30,10,0,3,19,17,25,0,0,0.261,0.361,0.426,0.787
1718118571-253,https://www.milb.com/stats/?page=8,RileyR TirottaTirotta,1B,BUF,11,36,7,13,3,0,3,7,7,8,2,0,0.361,0.477,0.694,1.171
1718118571-254,https://www.milb.com/stats/?page=8,JoshJ VanMeterVanMeter,2B,SWB,37,106,17,22,7,0,3,18,21,34,2,1,0.208,0.351,0.358,0.709
1718118571-255,https://www.milb.com/stats/?page=8,LuisL VazquezVazquez,SS,IOW,43,159,23,40,10,0,3,13,16,43,1,2,0.252,0.341,0.371,0.712
1718118571-256,https://www.milb.com/stats/?page=8,EliE WhiteWhite,LF,GWN,35,127,24,36,8,0,3,16,21,40,13,1,0.283,0.399,0.417,0.816
1718118571-257,https://www.milb.com/stats/?page=8,ChrisC WilliamsWilliams,C,STP,35,118,17,20,7,0,3,11,21,41,1,0,0.169,0.3,0.305,0.605
1718118592-258,https://www.milb.com/stats/?page=7,EstebanE QuirozQuiroz,2B,LHV,44,126,17,24,4,0,4,22,23,39,1,0,0.19,0.325,0.317,0.642
1718118592-259,https://www.milb.com/stats/?page=7,NickN RaposoRaposo,C,MEM,41,135,16,25,6,0,4,18,11,35,0,0,0.185,0.247,0.319,0.566
1718118592-260,https://www.milb.com/stats/?page=7,PabloP ReyesReyes,3B,SYR,14,45,9,14,0,0,4,13,7,11,3,0,0.311,0.404,0.578,0.982
1718118592-261,https://www.milb.com/stats/?page=7,T.J.T RumfieldRumfield,1B,SWB,43,169,25,48,12,0,4,29,13,38,2,2,0.284,0.342,0.426,0.768
1718118592-262,https://www.milb.com/stats/?page=7,AustinA ShentonShenton,1B,DUR,20,68,11,18,4,1,4,12,13,27,0,0,0.265,0.383,0.529,0.912
1718118592-263,https://www.milb.com/stats/?page=7,YolmerY SánchezSánchez,2B,SYR,47,145,22,27,6,0,4,19,21,34,3,0,0.186,0.298,0.31,0.608
1718118592-264,https://www.milb.com/stats/?page=7,GeorgeG ValeraValera,RF,COL,30,110,18,25,8,0,4,16,20,32,1,0,0.227,0.346,0.409,0.755
1718118592-265,https://www.milb.com/stats/?page=7,ForrestF WallWall,CF,GWN,40,154,27,43,6,2,4,13,26,51,7,5,0.279,0.39,0.422,0.812
1718118592-266,https://www.milb.com/stats/?page=7,AustinA WynnsWynns,C,LOU,27,92,10,24,4,0,4,17,8,24,0,0,0.261,0.317,0.435,0.752
1718118592-267,https://www.milb.com/stats/?page=7,LuisangelAcuñaAcuña,SS,SYR,59,250,48,61,8,4,3,17,18,49,22,8,0.244,0.299,0.344,0.643
1718118592-268,https://www.milb.com/stats/?page=7,RileyR AdamsAdams,C,ROC,5,21,6,9,0,0,3,5,1,3,0,0,0.429,0.455,0.857,1.312
1718118592-269,https://www.milb.com/stats/?page=7,GregG AllenAllen,CF,SWB,34,108,20,26,4,2,3,13,17,32,8,1,0.241,0.369,0.398,0.767
1718118592-270,https://www.milb.com/stats/?page=7,RobR BrantlyBrantly,C,DUR,25,86,11,23,3,0,3,9,6,18,0,0,0.267,0.337,0.407,0.744
1718118592-271,https://www.milb.com/stats/?page=7,JairJ CamargoCamargo,C,STP,15,57,9,15,3,0,3,13,6,15,1,0,0.263,0.354,0.474,0.828
1718118592-272,https://www.milb.com/stats/?page=7,VinnyV CapraCapra,2B,NAS,54,204,29,48,10,1,3,18,25,50,5,1,0.235,0.316,0.338,0.654
1718118592-273,https://www.milb.com/stats/?page=7,Diego A.D CastilloCastillo,3B,STP,50,164,28,48,8,2,3,23,29,26,6,2,0.293,0.401,0.421,0.822
1718118592-274,https://www.milb.com/stats/?page=7,WesW ClarkeClarke,DH,NAS,21,81,7,18,2,0,3,11,5,37,1,0,0.222,0.27,0.358,0.628
1718118592-275,https://www.milb.com/stats/?page=7,KodyK ClemensClemens,2B,LHV,23,93,17,23,5,1,3,16,9,19,3,1,0.247,0.327,0.419,0.746
1718118592-276,https://www.milb.com/stats/?page=7,JacksonJ CluffCluff,SS,ROC,26,77,16,23,4,1,3,12,11,21,5,0,0.299,0.389,0.494,0.883
1718118592-277,https://www.milb.com/stats/?page=7,MarkM ContrerasContreras,CF,WOR,56,185,30,39,10,3,3,25,26,67,15,3,0.211,0.323,0.346,0.669
1718118592-278,https://www.milb.com/stats/?page=7,CarlosC CortesCortes,LF,SYR,25,76,13,19,4,0,3,15,13,12,1,1,0.25,0.356,0.421,0.777
1718118592-279,https://www.milb.com/stats/?page=7,MartyM CostesCostes,DH,JAX,46,158,18,37,3,0,3,19,12,28,2,2,0.234,0.309,0.31,0.619
1718118592-280,https://www.milb.com/stats/?page=7,JoséJ DeversDevers,2B,JAX,18,64,11,18,3,1,3,9,4,16,2,0,0.281,0.338,0.5,0.838
1718118592-281,https://www.milb.com/stats/?page=7,CalebC DurbinDurbin,2B,SWB,47,177,34,53,17,1,3,36,30,21,20,2,0.299,0.413,0.458,0.871
1718118592-282,https://www.milb.com/stats/?page=7,JoeyJ GalloGallo,1B,ROC,8,28,8,4,1,0,3,7,8,11,0,0,0.143,0.333,0.5,0.833
1718118596-283,https://www.milb.com/stats/?page=6,LuisL TorrensTorrens,C,SWB,30,111,17,31,6,0,5,19,10,29,1,1,0.279,0.339,0.468,0.807
1718118596-284,https://www.milb.com/stats/?page=6,MichaelM TrautweinTrautwein,C,LOU,41,141,19,27,9,1,5,15,16,52,4,0,0.191,0.277,0.376,0.653
1718118596-285,https://www.milb.com/stats/?page=6,JaredJ WalshWalsh,1B,CLT,26,79,10,16,2,1,5,7,12,30,0,0,0.203,0.315,0.443,0.758
1718118596-286,https://www.milb.com/stats/?page=6,JamieJ WestbrookWestbrook,3B,WOR,49,165,25,44,13,0,5,29,24,37,2,1,0.267,0.364,0.436,0.8
1718118596-287,https://www.milb.com/stats/?page=6,LukeL WilliamsWilliams,1B,GWN,28,114,15,31,10,0,5,22,9,37,9,1,0.272,0.323,0.491,0.814
1718118596-288,https://www.milb.com/stats/?page=6,AndrésA AlvarezAlvarez,2B,IND,30,108,17,26,2,1,4,12,6,27,2,0,0.241,0.284,0.389,0.673
1718118596-289,https://www.milb.com/stats/?page=6,Ji HwanJ BaeBae,CF,IND,27,98,23,36,4,1,4,15,21,34,7,3,0.367,0.479,0.551,1.03
1718118596-290,https://www.milb.com/stats/?page=6,WillW BanfieldBanfield,C,JAX,42,157,18,32,7,1,4,17,13,54,0,0,0.204,0.266,0.338,0.604
